EnhanceID,EnhanceNum,GoldNum,SuccessPercent,ResultRewards
3201316,17,7500,10,3201317
3201317,18,8000,5,3201318
3201318,19,8500,3,3201319
3201319,20,9000,1,3201320
32014,1,300,100,3201401
3201401,2,500,100,3201402
3201402,3,700,100,3201403
3201403,4,1000,100,3201404
3201404,5,1500,80,3201405
3201405,6,2000,70,3201406
3201406,7,2500,60,3201407
3201407,8,3000,50,3201408
3201408,9,3500,40,3201409
3201409,10,4000,30,3201410
3201410,11,4500,25,3201411
3201411,12,5000,15,3201412
3201412,13,5500,14,3201413
3201413,14,6000,13,3201414
3201414,15,6500,12,3201415
3201415,16,7000,11,3201416
3201416,17,7500,10,3201417
3201417,18,8000,5,3201418
3201418,19,8500,3,3201419
3201419,20,9000,1,3201420
,,,,
